time_stamp,Tair,Tsurf,5.8 cm,0 cm,-15 cm
2018-09-07 17:00:00,1.088313,1.6091536,2.40173486291076,3.36579289341626,1.29
2018-09-07 18:00:00,0.5047616,0.8146721,1.09356103497089,2.47449796228227,1.35
2018-09-07 19:00:00,0.5800972,0.154207,0.744657070764276,1.99938399672516,1.39
2018-09-07 20:00:00,0.3725701,-0.390716,0.099439907522253,1.41326830272993,1.4
2018-09-07 21:00:00,0.3463017,-0.4879945,-0.267657800244649,0.993893716930018,1.39
2018-09-07 22:00:00,0.4974419,-0.3200526,-0.343861656657054,0.747057324962213,1.36
2018-09-07 23:00:00,0.5640757,-0.3488346,-0.392814335744788,0.553525247727862,1.32
2018-09-08 00:00:00,0.9892512,0.182937,-0.060925869441348,0.415997554967703,1.27
2018-09-08 01:00:00,0.5125565,-0.0887063,-0.144660951514993,0.284685427334864,1.22
2018-09-08 02:00:00,0.7094586,0.2919521,0.112325302395789,0.231795198424948,1.17
2018-09-08 03:00:00,0.9071144,0.3757109,0.317040982526692,0.209335562126682,1.13
2018-09-08 04:00:00,1.120556,0.77083766,0.355328255255813,0.190092858702599,1.08
2018-09-08 05:00:00,0.6349546,0.20251924,-0.047976218925442,0.196323918915084,1.04
2018-09-08 06:00:00,1.028422,0.2746797,0.513650635053466,0.137746959751098,1
2018-09-08 07:00:00,0.4660035,-0.0248352,0.224151468794389,0.25421918065274,0.96
2018-09-08 08:00:00,0.936739,0.5139821,1.10382025108555,0.905139698257187,0.93
2018-09-08 09:00:00,1.557801,0.888061,2.32012754648099,1.89964917452971,0.9
2018-09-08 10:00:00,2.574201,1.942767,2.76539650340629,2.48800199755954,0.89
2018-09-08 11:00:00,2.610515,3.092582,2.79849727163588,2.71192189238496,0.91
2018-09-08 12:00:00,2.016949,3.009114,2.70463396979028,3.13326813749734,0.93
2018-09-08 13:00:00,1.781163,2.788735,2.56262632568195,3.16255341732466,0.98
2018-09-08 14:00:00,1.908843,2.99272,2.7786995823601,3.43593938812984,1.03
2018-09-08 15:00:00,1.990313,3.104777,2.78439000552873,3.5002038310484,1.09
2018-09-08 16:00:00,2.202877,3.078282,2.75409831833542,3.4857484249431,1.15
2018-09-08 17:00:00,2.417904,3.070624,2.6477505666075,3.29146966210317,1.21
2018-09-08 18:00:00,2.258186,2.965637,2.25293464627271,2.91391704304402,1.25
2018-09-08 19:00:00,2.313567,2.264077,1.81711579852106,2.51393639049837,1.29
2018-09-08 20:00:00,2.100125,1.627411,1.28215307551125,2.01648607228037,1.32
2018-09-08 21:00:00,1.88258,1.235963,1.07529385741128,1.6977537499364,1.32
2018-09-08 22:00:00,1.689969,1.050415,0.775981912430723,1.39934324565866,1.32
2018-09-08 23:00:00,1.512559,1.065031,0.570264325028177,1.18162100303675,1.3
2018-09-09 00:00:00,1.547632,0.922076,0.601822791731252,1.08267141925063,1.27
2018-09-09 01:00:00,1.525702,0.8559711,0.580638888256487,1.01092654209316,1.24
2018-09-09 02:00:00,1.02546,0.3404575,0.353288094071615,0.883630584013019,1.2
2018-09-09 03:00:00,0.8683363,0.1930687,0.457256969812988,0.825975722822022,1.16
2018-09-09 04:00:00,0.6967499,0.0533604,0.09693345875877,0.642785289998528,1.13
2018-09-09 05:00:00,0.4827296,0.2454687,-0.04512010301869,0.409952974251326,1.09
2018-09-09 06:00:00,0.1757771,0.02641687,-0.043320330745814,0.297313010840469,1.06
2018-09-09 07:00:00,-0.09306633,-0.36245619,-0.020782215643237,0.394685702183097,1.02
2018-09-09 08:00:00,-0.1859296,-0.5480918,-0.00364157454959,0.650884942417804,0.99
2018-09-09 09:00:00,-0.1428053,-0.59153363,0.533763249645574,1.13057716813069,0.96
2018-09-09 10:00:00,-0.01823345,-0.420262688,1.26326480045702,1.75940290051864,0.93
2018-09-09 11:00:00,0.1676949,-0.3616697,2.10976021711258,2.64819077731408,0.92
2018-09-09 12:00:00,0.3972326,1.3387434,2.42053967263234,3.32644729655743,0.95
2018-09-09 13:00:00,0.5416821,2.9745507,2.37119936848291,3.65431065554918,1
2018-09-09 14:00:00,0.6237673,2.8597195,1.89059051007769,3.42722360115033,1.06
2018-09-09 15:00:00,0.7619522,2.4794436,1.44690098345512,3.11187313107814,1.14
2018-09-09 16:00:00,0.5250253,1.3289422,1.28958275483598,2.99336339453402,1.2
2018-09-09 17:00:00,0.3734587,0.5333238,1.24236472031117,2.89088626995431,1.25
2018-09-09 18:00:00,0.3169173,0.1693931,0.555175486427174,2.32870425173621,1.29
2018-09-09 19:00:00,0.04942382,-0.4317739,-0.005480961785167,1.7022751225972,1.31
2018-09-09 20:00:00,-0.06249294,-0.41822119,-0.052162482130029,1.01033508554207,1.32
2018-09-09 21:00:00,0.01856093,-0.332576323,-0.557468899182709,0.503281238409102,1.3
2018-09-09 22:00:00,-0.2984674,-0.4517079,-1.8298832552851,0.112677806456873,1.27
2018-09-09 23:00:00,-0.5570545,-0.4639699,-3.13305300119833,-0.084240249612378,1.23
2018-09-10 00:00:00,-1.226018,-1.138726,-4.05324079145152,-0.177383709941296,1.18
2018-09-10 01:00:00,-1.330588,-1.250464,-3.88833080025034,-0.240307563489068,1.12
2018-09-10 02:00:00,-1.141405,-0.873156,-2.60653362332408,-0.196732594497576,1.07
2018-09-10 03:00:00,-1.392732,-1.276413,-2.30249875297903,-0.181840032481432,1.01
2018-09-10 04:00:00,-1.138797,-1.237714,-2.2340864969608,-0.18250456073207,0.96
2018-09-10 05:00:00,-0.9399448,-1.0756099,-3.26459763152678,-0.272971004612884,0.91
2018-09-10 06:00:00,-1.292855,-1.681433,-3.4012034919312,-0.301877931612353,0.85
2018-09-10 07:00:00,-0.7764542,-2.2789847,-2.99190703163578,-0.347180825241878,0.81
2018-09-10 08:00:00,-0.0008567399,-1.26658408,-2.00693523907313,-0.308752310157047,0.77
2018-09-10 09:00:00,0.2236734,-1.7872898,-0.50091977938223,-0.207051005834046,0.72
2018-09-10 10:00:00,0.7333655,0.0855171,-0.027121404675711,-0.090967889545709,0.69
